Score,Total # of Trades,Current Trades,Unrated Trades,Curr Neg Trades,Hist Neg Trades,No. of Accts Paid,Curr Past Due,Amount Past due,30 Days,60 Days,90+ days,Inquiries,Inq. Last 6 Months,Public Records,Collections,Oldest Trade,Accounts Balance,Monthly Payment,Credit Limit,High Credit,Total Real Est. Bal,Total Rev. Bal,Tot. Installment Bal,Available %
629,5,2,0,0,0,0,0, $-   ,0,0,0,2,1,0,0,01/12/2016, $553.00 , $479.00 , $300.00 ," $1,826.00 ", $-   , $104.00 , $449.00 ,65%
578,15,1,0,0,0,5,2," $13,757.00 ",8,7,22,0,0,0,0,01/05/2007," $148,001.00 "," $1,169.00 ", $-   ," $497,134.00 "," $134,244.00 "," $13,757.00 "," $134,244.00 ",0%
556,43,6,0,1,0,2,11," $4,479.00 ",8,7,35,14,0,1,9,01/10/2008," $115,522.00 ", $914.00 ," $1,300.00 "," $201,974.00 ", $-   ," $4,084.00 "," $108,669.00 ",0%
544,48,2,0,17,0,10,11," $6,151.00 ",21,14,54,19,6,7,7,01/09/2010," $73,898.00 ", $242.00 ," $2,600.00 "," $65,034.00 ", $-   ," $5,492.00 "," $65,584.00 ",17%
570,13,1,0,5,0,0,2," $2,922.00 ",6,7,88,2,0,0,1,01/12/2008," $35,471.00 ", $-   , $-   ," $25,733.00 ", $-   ," $1,519.00 "," $32,549.00 ",0%
574,36,5,0,2,0,15,8," $25,995.00 ",16,11,24,5,0,0,5,01/09/2009," $326,207.00 "," $2,053.00 "," $1,490.00 "," $488,161.00 "," $188,994.00 "," $10,309.00 "," $299,238.00 ",100%
633,14,1,0,2,0,5,2, $445.00 ,18,7,17,2,0,0,0,01/09/2011," $3,043.00 ", $73.00 ," $6,240.00 "," $299,122.00 ", $-   ," $3,043.00 ", $-   ,58%
547,11,2,0,0,0,2,3," $2,721.00 ",6,3,9,16,0,0,2,01/10/2012," $28,260.00 ", $565.00 , $650.00 ," $63,071.00 ", $-   ," $1,301.00 "," $25,532.00 ",99%
Not Scored,1,0,0,0,0,0,1, $601.00 ,0,0,0,0,0,0,0,01/04/2020, $601.00 , $-   , $-   , $601.00 , $-   , $-   , $-   ,0%
663,16,9,0,2,0,3,0, $-   ,1,1,0,1,1,0,0,01/02/1999," $38,034.00 ", $775.00 ," $32,700.00 "," $792,603.00 ", $-   ," $26,745.00 "," $11,289.00 ",18%
665,9,4,0,1,0,2,1, $993.00 ,3,3,0,4,0,0,1,01/12/1999," $15,098.00 ", $536.00 , $750.00 ," $42,217.00 ", $-   , $201.00 ," $13,904.00 ",73%
657,2,2,0,0,0,0,0,0,0,0,0,5,4,0,0,01/06/2017," $2,325.00 ", $581.00 ," $3,300.00 "," $3,385.00 ", $-   ," $2,325.00 ", $-   ,30%
479,29,2,0,0,1,6,13," $6,706.00 ",36,18,22,15,0,0,9,01/06/2010," $48,731.00 ", $641.00 , $-   ," $284,991.00 ", $-   ," $1,930.00 "," $40,704.00 ",0%
577,4,1,0,2,0,0,0,0,6,2,0,7,0,0,0,01/05/2015," $26,796.00 ", $491.00 , $750.00 ," $38,638.00 ", $-   ," $1,397.00 "," $25,399.00 ",0%
573,13,4,0,0,0,4,5," $11,986.00 ",38,15,9,3,0,0,1,01/09/2007," $109,367.00 ", $595.00 ," $2,100.00 "," $142,027.00 "," $95,865.00 "," $1,505.00 "," $104,775.00 ",28%
663,5,1,0,0,0,2,0, $-   ,0,2,0,0,0,0,0,01/09/2010, $237.00 , $29.00 , $500.00 ," $10,400.00 ", $-   , $237.00 , $-   ,53%
639,8,7,0,0,0,1,0, $-   ,0,0,0,10,2,0,0,01/12/1999," $3,860.00 ", $295.00 ," $22,000.00 "," $15,095.00 ", $-   ," $3,820.00 ", $40.00 ,83%
620,20,13,0,0,0,5,0, $-   ,0,0,0,13,1,0,0,01/07/2017," $15,853.00 ", $389.00 ," $7,780.00 "," $21,581.00 ", $-   ," $6,553.00 "," $9,300.00 ",16%
661,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,01/10/2018, $466.00 , $35.00 , $900.00 , $925.00 , $-   , $466.00 , $-   ,48%
592,3,2,0,0,0,1,0, $-   ,2,0,0,11,4,0,0,01/08/2018," $5,091.00 ", $188.00 , $300.00 ," $6,262.00 ", $-   , $300.00 ," $4,791.00 ",0%
Not Scored,,,,,,,,,,,,,,,,,,,,,,,,0%
645,4,1,0,1,0,1,0, $-   ,3,2,2,4,4,0,0,01/07/2010,01/07/2010,$141," $4,100.00 "," $26,607.00 ", $-   ," $4,928.00 ", $-   ,27%
