Score,Total # of Trades,Current Trades,Unrated Trades,Curr Neg Trades,Hist Neg Trades,No. of Accts Paid,Curr Past Due,Amount Past due,30 Days,60 Days,90+ days,Inquiries,Inq. Last 6 Months,Public Records,Collections,Oldest Trade,Accounts Balance,Monthly Payment,Credit Limit,High Credit,Total Real Est. Bal,Total Rev. Bal,Tot. Installment Bal,Available %
611,45,11,0,0,0,17,3, $563.00 ,64,23,91,13,0,1,2,01/05/1987," $83,569.00 "," $1,417.00 "," $10,700.00 "," $1,223,169.00 ", $-   , $385.00 ," $82,977.00 ",100%
703,14,10,0,1,0,2,0, $703.00 ,1,0,0,21,12,0,0,01/02/2013," $23,515.00 ", $855.00 ," $4,850.00 "," $51,879.00 ", $-   , $281.00 ," $23,234.00 ",94%
507,8,0,0,0,0,1,3," $2,070.00 ",27,11,9,8,2,0,1,01/06/2011," $2,070.00 ", $-   , $-   ," $91,100.00 ", $-   ," $1,256.00 ", $-   ,0%
726,1,1,0,0,0,0,0, $-   ,0,0,0,1,1,0,0,01/10/2019, $168.00 , $25.00 , $500.00 , $497.00 , $-   , $168.00 , $-   ,66%
639,24,0,1,0,22,0,0, $639.00 ,89,0,0,25,11,1,0,01/06/1991," $246,178.00 "," $3,484.00 "," $19,450.00 "," $1,045,450.00 "," $166,059.00 "," $13,555.00 "," $232,623.00 ",30%
610,28,11,0,3,0,10,0, $-   ,5,1,1,12,1,0,2,01/09/2011," $56,061.00 "," $1,219.00 "," $45,120.00 "," $135,584.00 ", $-   ," $23,716.00 "," $32,345.00 ",47%
566,10,3,0,2,0,0,4," $2,487.00 ",7,5,9,16,11,0,3,01/08/2008," $20,944.00 ", $84.00 ," $5,900.00 "," $28,347.00 ", $-   ," $1,437.00 "," $18,325.00 ",98%
604,14,5,0,3,0,2,2, $822.00 ,6,7,10,7,1,0,1,01/06/2017," $25,789.00 ", $531.00 ," $1,450.00 "," $63,132.00 ", $-   , $603.00 ," $24,364.00 ",20%
755,22,10,0,0,0,10,0, $-   ,0,0,0,1,0,0,0,01/08/1985," $45,353.00 "," $1,043.00 "," $79,300.00 "," $687,038.00 ", $-   ," $30,572.00 "," $14,781.00 ",61%
776,71,28,0,1,0,41,0, $-   ,2,0,0,2,1,0,0,01/04/1996," $74,923.00 "," $1,685.00 "," $169,352.00 "," $359,360.00 ", $-   ," $14,621.00 "," $60,302.00 ",91%
619,36,7,0,1,0,11,6, $619.00 ,32,17,34,12,3,0,1,01/12/1994," $176,332.00 "," $2,175.00 "," $4,970.00 "," $1,125,313.00 "," $147,700.00 "," $1,712.00 "," $174,058.00 ",83%
623,14,3,0,0,0,3,6," $10,352.00 ",5,2,2,24,0,0,2,01/10/2004," $27,406.00 ", $335.00 ," $1,600.00 "," $579,526.00 ", $-   , $-   ," $17,054.00 ",100%
619,1,0,0,1,0,0,0, $-   ,1,1,5,20,1,0,0,01/01/2019, $-   , $-   , $300.00 , $315.00 , $-   , $-   , $-   ,100%
617,24,10,0,4,0,0,3," $6,038.00 ",11,5,51,1,1,0,1,01/09/2004," $103,971.00 ", $621.00 , $700.00 ," $95,982.00 ", $-   , $526.00 ," $97,407.00 ",25%
490,10,2,0,0,0,2,3," $1,914.00 ",8,6,18,4,1,0,1,01/03/2016," $13,726.00 ", $350.00 ," $2,550.00 "," $22,456.00 ", $-   ," $1,157.00 "," $11,157.00 ",70%
504,8,1,0,0,1,0,6," $1,691.00 ",6,13,18,1,1,0,5,01/10/2014," $36,033.00 ", $857.00 , $-   ," $36,598.00 ", $-   , $-   ," $34,813.00 ",0%
"Not Scored
",21,0,0,0,0,0,16," $10,629.00 ",2,2,34,3,1,0,15,01/04/2009," $10,629.00 ", $-   , $-   ," $18,938.00 ", $-   , $-   , $-   ,0%
654,10,5,0,0,0,3,0, $-   ,46,32,0,6,3,0,1,01/12/1999, $231.00 , $204.00 , $200.00 ," $27,443.00 ", $-   , $47.00 , $184.00 ,77%
681,10,8,0,1,0,1,0, $-   ,1,0,0,10,0,0,0,01/08/2015," $79,082.00 ", $447.00 ," $27,800.00 "," $96,647.00 ", $-   ," $13,122.00 "," $65,960.00 ",53%
622,29,16,0,0,0,10,2, $447.00 ,2,2,15,24,16,0,1,01/12/1999," $47,490.00 "," $1,392.00 "," $4,500.00 "," $70,412.00 ", $-   ," $1,824.00 "," $45,219.00 ",59%
694,2,2,0,0,0,0,0, $-   ,0,0,0,2,0,0,0,01/01/2020, $83.00 , $39.00 , $601.00 , $468.00 , $-   , $83.00 , $-   ,86%
586,22,14,0,1,0,0,5," $2,743.00 ",7,4,10,13,7,1,1,01/11/2002," $101,058.00 ", $80.00 , $600.00 ," $63,266.00 ", $-   ," $2,433.00 "," $97,923.00 ",59%
713,48,11,0,1,0,32,0, $-   ,9,0,0,10,2,0,0,01/10/2001," $329,668.00 "," $3,405.00 "," $19,610.00 "," $1,182,266.00 "," $274,193.00 "," $4,984.00 "," $324,684.00 ",75%
475,14,0,0,0,0,4,9," $5,815.00 ",2,1,3,1,0,0,8,01/12/2012," $5,815.00 ", $-   , $-   ," $7,041.00 ", $-   , $-   , $-   ,0%
571,7,5,0,0,0,1,1, $696.00 ,0,0,0,20,11,0,1,01/04/2019," $23,989.00 ", $682.00 ," $1,600.00 "," $25,328.00 ", $-   ," $1,210.00 "," $22,083.00 ",24%
783,15,12,0,0,0,2,0, $-   ,0,0,0,1,0,0,0,01/08/2009," $70,122.00 "," $1,178.00 "," $15,600.00 "," $133,961.00 ", $-   ," $5,664.00 "," $64,458.00 ",64%
733,6,5,0,0,0,0,0, $-   ,0,0,0,0,0,0,1,01/06/2011," $5,476.00 ", $175.00 ," $11,900.00 "," $6,831.00 ", $-   ," $5,476.00 ", $-   ,54%
592,12,1,0,6,0,2,1, $422.00 ,19,7,13,2,2,0,0,01/01/2005," $14,365.00 ", $312.00 ," $16,810.00 "," $54,889.00 ", $-   ," $2,095.00 "," $12,270.00 ",98%
720,4,4,0,0,0,0,0, $-   ,0,0,0,13,0,0,0,01/01/2019," $24,028.00 ", $483.00 ," $3,000.00 "," $28,006.00 ", $-   ," $1,724.00 "," $22,304.00 ",43%
684,14,2,0,9,0,2,0, $-   ,19,5,88,1,0,0,0,01/09/2003," $60,846.00 ", $482.00 ," $4,500.00 "," $79,881.00 ", $-   ," $1,882.00 "," $58,964.00 ",58%
504,19,2,0,0,1,12,4, $780.00 ,6,3,10,1,0,0,1,01/12/2009," $35,232.00 ", $145.00 ," $2,000.00 "," $37,807.00 ", $-   ," $1,302.00 "," $33,809.00 ",35%
598,30,14,0,0,0,7,2," $1,297.00 ",1,1,3,4,0,0,2,01/03/2016," $13,511.00 ", $730.00 ," $9,050.00 "," $70,277.00 ", $-   ," $7,981.00 "," $4,233.00 ",13%
"Not Scored
",7,1,0,0,0,1,1, $380.00 ,9,1,0,0,0,0,2,01/01/2011, $778.00 , $-   ," $4,300.00 "," $24,422.00 ", $-   , $-   , $-   ,100%
525,26,1,0,3,0,3,13," $23,108.00 ",29,21,30,3,1,0,4,01/03/2013," $29,755.00 ", $265.00 ," $2,700.00 "," $38,938.00 ", $-   ," $8,662.00 "," $2,071.00 ",19%
542,19,3,0,3,0,3,5," $2,252.00 ",23,9,12,1,0,0,4,01/08/2012," $57,849.00 "," $1,095.00 "," $4,100.00 "," $105,032.00 ", $-   ," $3,868.00 "," $52,181.00 ",12%
698,32,29,0,0,0,2,0, $-   ,40,16,93,6,3,0,0,01/11/1996," $46,213.00 "," $1,333.00 "," $33,110.00 "," $86,146.00 "," $10,125.00 "," $22,878.00 "," $23,335.00 ",35%
543,75,12,0,3,0,26,8," $15,281.00 ",32,12,45,12,0,1,2,01/04/2007," $165,211.00 "," $1,901.00 "," $3,250.00 "," $315,784.00 ", $-   ," $7,143.00 "," $144,371.00 ",33%
550,3,2,0,0,0,0,0, $-   ,0,0,0,16,0,1,0,01/12/2018," $9,927.00 ", $-   , $-   ," $10,008.00 ", $-   , $-   ," $9,927.00 ",0%
668,26,18,0,0,0,6,0, $-   ,2,1,0,8,1,0,0,01/05/2012," $96,959.00 "," $2,066.00 "," $21,220.00 "," $213,934.00 ", $-   ," $15,003.00 "," $81,956.00 ",29%
741,21,15,0,0,0,5,0, $-   ,3,1,0,1,0,0,0,01/08/2014," $42,044.00 ", $574.00 ," $6,300.00 "," $75,010.00 ", $-   ," $1,531.00 "," $40,513.00 ",76%
743,23,15,0,0,0,8,0, $-   ,0,0,0,10,2,0,0,01/04/2009," $149,574.00 "," $1,703.00 "," $48,300.00 "," $201,693.00 "," $105,815.00 "," $16,184.00 "," $133,390.00 ",66%
"Not Scored
",4,0,0,0,0,0,1, $440.00 ,0,0,0,10,0,0,2,01/08/2015, $440.00 , $-   , $-   , $771.00 , $-   , $-   , $-   ,0%
568,11,2,0,1,0,2,4, $692.00 ,21,28,28,2,0,0,1,01/09/2006," $14,949.00 ", $502.00 ," $1,220.00 "," $56,263.00 ", $-   ," $1,544.00 "," $12,865.00 ",0%
772,36,21,0,0,0,13,0, $-   ,0,0,0,3,1,0,0,01/03/2001," $241,548.00 "," $3,068.00 "," $133,750.00 "," $970,738.00 "," $169,834.00 "," $22,712.00 "," $218,836.00 ",83%
659,9,4,0,1,0,3,0, $-   ,1,1,0,6,0,0,0,01/12/2014, $-   , $-   ," $8,300.00 "," $14,695.00 ", $-   , $-   , $-   ,100%
620,35,17,0,5,0,2,2," $2,692.00 ",25,6,78,20,9,0,2,01/12/1999," $84,127.00 "," $2,098.00 "," $22,200.00 "," $160,139.00 ", $-   ," $15,954.00 "," $65,448.00 ",27%
629,20,5,0,1,0,2,7," $53,422.00 ",21,17,56,4,0,0,4,01/05/2002," $425,717.00 "," $2,598.00 "," $12,901.00 "," $1,004,801.00 "," $372,906.00 "," $1,053.00 "," $372,906.00 ",92%
815,43,24,0,0,0,18,0, $-   ,0,0,0,2,0,0,0,01/05/1982," $196,161.00 "," $3,274.00 "," $246,690.00 "," $722,295.00 "," $87,061.00 "," $87,061.00 "," $127,608.00 ",77%
547,40,9,0,1,0,10,6," $10,139.00 ",18,19,47,7,0,0,2,01/11/2008," $58,700.00 ", $586.00 ," $1,350.00 "," $88,157.00 ", $-   ," $4,285.00 "," $46,074.00 ",56%
669,32,14,0,0,0,17,0, $-   ,0,0,0,4,1,0,0,01/03/1999," $129,011.00 ", $749.00 ," $19,000.00 "," $307,229.00 ", $-   ," $17,034.00 "," $111,977.00 ",10%
812,11,5,0,0,0,6,0, $-   ,0,0,0,1,0,0,0,01/08/1999," $1,387.00 ", $50.00 ," $87,500.00 "," $144,866.00 ", $-   ," $1,387.00 ", $98.00 ,0%
654,24,14,0,3,0,4,0, $654.00 ,17,5,4,3,1,0,0,01/12/1999," $292,563.00 "," $4,137.00 "," $44,150.00 "," $1,178,976.00 "," $206,018.00 "," $32,470.00 "," $260,093.00 ",26%
551,34,5,0,1,0,1,17," $15,014.00 ",10,6,13,23,12,0,15,01/08/2008," $136,866.00 "," $1,549.00 ", $800.00 ," $155,201.00 "," $106,139.00 ", $452.00 ," $119,853.00 ",100%
588,41,15,0,3,1,14,6," $1,283.00 ",11,1,0,9,3,0,5,01/08/2005," $60,362.00 "," $2,551.00 "," $39,260.00 "," $237,974.00 ", $-   ," $19,757.00 "," $39,705.00 ",50%
647,18,8,0,1,0,7,0, $647.00 ,4,3,11,3,0,0,0,01/10/2013," $20,854.00 "," $1,053.00 "," $1,895.00 "," $44,077.00 ", $-   ," $1,404.00 "," $19,450.00 ",26%
602,28,6,0,2,0,11,8," $20,815.00 ",5,4,20,23,3,0,4,01/02/2013," $82,158.00 "," $1,162.00 ", $600.00 ," $143,108.00 ", $-   ," $1,058.00 "," $61,099.00 ",59%
628,15,13,0,0,0,0,2, $239.00 ,0,0,0,31,6,0,2,01/10/2008," $683,466.00 "," $5,574.00 "," $14,410.00 "," $697,978.00 "," $653,171.00 ","$6,435"," $676,792.00 ",55%
621,28,4,0,0,0,13,0, $-   ,0,0,0,2,1,1,4,01/10/2005," $38,541.00 ", $201.00 ," $16,050.00 "," $138,503.00 ", $-   ," $10,629.00 "," $27,912.00 ",34%
619,41,18,0,1,0,9,0, $-   ,1,0,0,2,0,0,0,01/08/2013," $47,363.00 ", $468.00 ," $7,030.00 "," $90,806.00 ", $-   ," $6,515.00 "," $40,848.00 ",7%
656,31,9,0,0,0,19,0, $656.00 ,4,4,2,10,3,0,1,01/09/2010," $59,969.00 ", $766.00 ," $10,250.00 "," $152,456.00 ", $-   ," $1,968.00 "," $58,001.00 ",81%
677,4,2,0,0,0,2,0, $-   ,0,0,0,18,3,0,0,01/07/2019," $18,686.00 ", $453.00 ," $1,000.00 "," $22,891.00 ", $-   , $296.00 ," $18,390.00 ",70%
"Not Scored
",9,0,0,0,0,3,4," $3,100.00 ",1,1,4,6,2,0,3,01/06/2009," $3,100.00 ", $-   , $-   ," $29,866.00 ", $-   , $-   , $-   ,0%
549,17,5,0,0,0,3,5," $13,236.00 ",7,6,19,44,2,0,0,01/12/2013," $22,104.00 ", $164.00 , $600.00 ," $21,146.00 ", $-   ," $4,742.00 "," $7,828.00 ",0%
787,15,6,0,0,0,9,0, $-   ,0,0,0,0,0,0,0,01/10/2002," $5,389.00 ", $121.00 ," $50,700.00 "," $190,361.00 ", $-   ," $5,310.00 ", $79.00 ,90%
605,23,12,0,4,0,1,2," $1,869.00 ",7,3,3,13,8,0,2,01/03/2015," $34,966.00 "," $1,339.00 "," $11,700.00 "," $73,067.00 ", $-   ," $10,191.00 "," $22,906.00 ",13%
777,13,8,0,0,0,5,0, $-   ,0,0,0,1,0,0,0,01/06/2015," $22,043.00 ", $358.00 ," $7,000.00 "," $37,642.00 ", $-   , $670.00 ," $21,373.00 ",90%
636,19,9,0,0,0,10,0, $-   ,0,0,0,7,0,0,0,01/11/2016," $28,289.00 "," $1,009.00 "," $17,650.00 "," $60,229.00 ", $-   ," $12,065.00 "," $16,224.00 ",32%
549,9,1,0,0,0,1,5," $16,800.00 ",5,3,2,55,22,0,2,01/03/2015," $27,569.00 ", $530.00 , $-   ," $38,351.00 ", $-   , $115.00 ," $10,728.00 ",0%
546,16,3,0,3,0,2,6," $8,096.00 ",11,8,30,5,1,0,3,01/07/2016," $33,580.00 ", $560.00 ," $3,050.00 "," $36,946.00 ", $-   ," $6,419.00 "," $21,310.00 ",13%
"Not Scored
",5,0,0,0,0,2,1, $648.00 ,2,2,7,2,1,1,0,01/06/2006, $648.00 , $-   , $-   ," $36,508.00 ", $-   , $-   , $-   ,0%
585,4,2,0,1,1,0,1, $392.00 ,21,15,2,2,0,0,0,01/11/2015," $9,111.00 ", $482.00 ," $1,500.00 "," $27,199.00 ", $-   , $818.00 ," $7,953.00 ",26%
828,17,7,0,0,0,9,0, $-   ,0,0,0,1,0,0,0,01/11/1993," $88,941.00 "," $2,567.00 "," $73,400.00 "," $447,722.00 "," $82,864.00 "," $6,077.00 "," $82,864.00 ",92%
510,5,1,0,0,0,1,3," $5,069.00 ",4,3,6,4,0,0,1,01/02/2005," $12,803.00 ", $29.00 ," $8,500.00 "," $31,450.00 ", $-   ," $12,338.00 ", $-   ,73%
501,8,0,0,0,0,0,6," $2,301.00 ",0,0,0,5,1,0,3,01/05/2014," $2,301.00 ", $-   , $-   ," $15,366.00 ", $-   , $-   , $-   ,0%
587,13,3,0,1,0,1,3," $2,384.00 ",5,3,12,11,2,0,3,01/12/2010," $172,743.00 "," $1,697.00 "," $1,000.00 "," $340,298.00 "," $151,844.00 ", $760.00 ," $169,599.00 ",24%
635,27,16,0,3,0,5,2," $3,616.00 ",4,2,3,3,2,0,1,01/12/1999," $105,485.00 "," $1,392.00 "," $14,350.00 "," $259,100.00 "," $75,625.00 "," $11,673.00 "," $89,516.00 ",19%
581,23,11,0,2,0,8,2, $889.00 ,4,3,3,19,12,0,2,01/12/1999," $38,743.00 "," $1,516.00 "," $1,525.00 "," $84,797.00 ", $-   ," $1,039.00 "," $36,281.00 ",0%
637,15,8,0,1,0,5,1, $712.00 ,1,1,2,2,1,0,0,01/10/2006," $10,826.00 ", $278.00 ," $7,100.00 "," $38,902.00 ", $-   ," $3,301.00 "," $7,525.00 ",64%
518,7,1,0,0,0,0,4," $11,066.00 ",2,1,4,7,4,0,3,01/12/2017," $25,371.00 ", $424.00 , $-   ," $30,788.00 ", $-   , $-   ," $13,006.00 ",0%
715,6,6,0,0,0,0,0, $-   ,0,0,0,1,0,0,0,01/07/2016," $12,690.00 ", $-   ," $1,750.00 "," $12,500.00 ", $-   , $-   ," $12,690.00 ",100%
487,35,1,0,0,1,8,11," $10,854.00 ",22,12,31,3,0,1,6,01/01/2007," $15,799.00 ", $205.00 , $-   ," $73,109.00 ", $-   , $-   ," $2,214.00 ",0%
725,9,6,0,0,0,3,0, $-   ,0,0,0,1,0,0,0,01/09/2015," $29,716.00 ", $624.00 ," $12,100.00 "," $59,739.00 ", $-   ," $5,092.00 "," $24,624.00 ",58%
524,16,9,0,0,1,0,7," $12,656.00 ",1,0,0,24,8,0,0,01/10/2013," $64,056.00 "," $1,248.00 "," $12,450.00 "," $66,209.00 ", $-   ," $11,787.00 "," $39,659.00 ",7%
506,25,4,0,0,0,3,14," $10,044.00 ",7,7,13,15,4,0,10,01/04/2012," $19,544.00 ", $-   , $450.00 ," $21,531.00 ", $-   ," $1,070.00 "," $9,500.00 ",100%
626,12,8,0,0,0,3,1," $1,210.00 ",1,1,0,20,10,0,0,01/02/1985," $27,701.00 ", $654.00 ," $4,500.00 "," $50,177.00 ", $-   ," $4,420.00 "," $20,682.00 ",2%
584,15,6,0,3,0,1,4, $586.00 ,4,0,24,18,8,0,3,01/05/2009," $50,481.00 ", $851.00 ," $2,600.00 "," $63,808.00 ", $-   ," $2,362.00 "," $47,533.00 ",9%
533,18,7,0,6,0,0,2," $1,217.00 ",7,11,37,19,2,0,0,01/12/2009," $375,543.00 ", $202.00 ," $4,100.00 "," $362,679.00 "," $334,596.00 "," $5,279.00 "," $370,264.00 ",1%
531,23,3,0,0,0,9,7," $17,000.00 ",10,5,15,2,1,0,2,01/11/2010," $41,100.00 ", $129.00 , $300.00 ," $53,498.00 ", $-   ," $4,635.00 "," $23,742.00 ",69%
554,43,8,0,6,1,11,12," $57,813.00 ",70,47,25,6,0,0,2,01/03/2003," $337,471.00 "," $3,888.00 "," $3,700.00 "," $676,376.00 "," $230,444.00 "," $34,841.00 "," $263,110.00 ",8%
697,19,15,0,0,0,3,1, $550.00 ,0,0,0,22,0,0,1,01/11/2014," $83,015.00 ", $954.00 ," $12,100.00 "," $115,898.00 ", $-   ," $2,210.00 "," $80,255.00 ",0%
689,10,6,0,1,0,3,0, $-   ,1,0,0,8,1,0,0,01/09/2006," $39,556.00 "," $1,282.00 "," $15,200.00 "," $116,423.00 ", $-   ," $7,804.00 "," $31,752.00 ",49%
561,11,1,0,0,0,3,2," $1,506.00 ",4,4,8,10,1,0,1,01/12/2014," $1,802.00 ", $25.00 , $300.00 ," $8,947.00 ", $-   , $296.00 , $-   ,1%
538,11,2,0,0,0,0,5," $6,929.00 ",12,4,9,24,15,0,1,01/10/2006," $23,204.00 ", $497.00 , $-   ," $39,201.00 ", $-   , $416.00 ," $16,275.00 ",0%
766,39,26,0,0,0,10,0, $-   ,0,0,0,9,1,0,0,01/12/1999," $306,069.00 "," $1,662.00 "," $39,800.00 "," $605,192.00 "," $217,749.00 ", $825.00 ," $305,244.00 ",98%
502,15,0,0,1,0,0,12," $8,890.00 ",29,8,62,9,2,0,8,01/10/2012," $16,514.00 ", $409.00 , $-   ," $95,595.00 ", $-   ," $1,629.00 "," $4,507.00 ",0%
524,34,6,0,1,1,15,6," $3,463.00 ",32,27,38,26,9,0,0,01/06/2005," $47,628.00 ", $268.00 ," $4,350.00 "," $102,097.00 ", $-   ," $4,841.00 "," $40,318.00 ",22%
628,10,6,0,1,0,2,0, $-   ,3,1,0,3,1,0,0,01/09/2013," $15,713.00 ", $522.00 ," $7,550.00 "," $26,105.00 ", $-   ," $6,173.00 "," $9,540.00 ",18%
483,24,1,0,0,2,7,5," $15,337.00 ",21,9,11,8,0,0,0,01/04/2013," $47,059.00 ", $217.00 ," $10,200.00 "," $127,656.00 ", $-   ," $20,673.00 ", $-   ,0%
556,35,5,0,3,0,3,14," $24,361.00 ",18,9,18,32,5,0,3,01/12/1999," $112,366.00 ", $792.00 , $700.00 ," $65,295.00 ", $-   ," $1,785.00 "," $86,947.00 ",3%
497,12,0,0,0,0,5,6," $8,279.00 ",11,5,7,3,0,0,2,01/08/2015," $8,279.00 ", $-   , $-   ," $24,103.00 ", $-   , $236.00 , $-   ,0%
746,27,16,0,0,0,1,0, $746.00 ,0,0,0,7,0,0,0,01/01/2006," $300,278.00 "," $2,366.00 "," $40,974.00 "," $616,836.00 "," $286,907.00 "," $9,013.00 "," $291,265.00 ",78%
685,12,10,0,1,0,0,0, $-   ,2,0,0,10,1,0,0,01/12/1999," $225,911.00 "," $1,129.00 "," $2,100.00 "," $222,171.00 ", $-   , $444.00 ," $225,467.00 ",79%
632,32,25,0,1,0,4,1, $511.00 ,32,11,12,4,2,0,0,01/01/2013," $67,874.00 ", $200.00 ," $5,300.00 "," $71,453.00 ", $-   , $559.00 ," $67,315.00 ",99%
643,37,17,0,0,0,6,0, $-   ,0,0,0,8,0,0,0,01/12/2006," $114,932.00 "," $2,003.00 "," $28,800.00 "," $241,341.00 ", $-   ," $22,534.00 "," $92,398.00 ",22%
670,42,8,0,9,0,19,0, $-   ,27,9,7,13,7,0,0,01/03/2001," $374,488.00 "," $1,574.00 "," $26,099.00 "," $1,795,814.00 "," $318,584.00 "," $3,560.00 "," $370,928.00 ",86%
581,37,1,0,6,0,16,12," $6,316.00 ",0,0,65,3,0,0,13,01/02/1998, $690.00 , $-   ," $314,354.00 "," $27,086.00 "," $27,086.00 ", $-   ," $187,023.00 ",0%
628,9,5,0,1,0,3,0, $-   ,5,1,0,2,0,0,0,01/06/2007," $6,448.00 ", $172.00 ," $8,950.00 "," $15,495.00 ", $-   ," $6,448.00 ", $-   ,28%
622,42,8,0,8,1,13,1, $95.00 ,31,4,40,6,0,0,0,01/01/2003," $183,453.00 "," $1,832.00 "," $14,260.00 "," $645,639.00 "," $136,920.00 "," $10,258.00 "," $173,195.00 ",28%
622,21,8,0,5,0,2,1, $552.00 ,36,10,7,3,0,0,1,01/10/2007," $69,109.00 "," $1,469.00 "," $4,940.00 "," $125,242.00 ", $-   ," $3,993.00 "," $64,564.00 ",19%
556,75,3,0,1,0,2,16," $14,391.00 ",10,52,251,0,0,0,11,01/02/2004," $282,897.00 ", $249.00 ," $1,250.00 "," $552,119.00 "," $8,824.00 "," $3,768.00 "," $267,311.00 ",4%
702,21,15,0,1,0,5,0, $-   ,1,0,0,2,0,0,0,01/12/1999," $88,061.00 "," $1,790.00 "," $98,024.00 "," $190,814.00 "," $39,112.00 "," $48,529.00 "," $39,532.00 ",51%
"Not Scored
",8,5,0,2,0,0,0, $-   ,1,0,3,3,1,0,1,01/02/2013," $12,808.00 ", $474.00 ," $11,300.00 "," $30,435.00 ", $-   ," $4,576.00 "," $8,232.00 ",60%
652,7,6,0,0,0,0,1, $20.00 ,0,0,0,6,2,0,0,01/02/2002," $82,911.00 ", $784.00 ," $2,900.00 "," $110,848.00 "," $79,619.00 "," $3,272.00 "," $79,619.00 ",52%
626,35,26,0,4,0,4,0, $-   ,9,36,1,2,0,0,0,01/12/1999," $286,417.00 ", $711.00 ," $12,460.00 "," $220,885.00 ", $-   ," $8,897.00 "," $277,520.00 ",29%
602,4,2,0,0,0,0,1, $591.00 ,1,1,4,11,1,0,1,01/05/2018," $22,674.00 ", $521.00 , $200.00 ," $24,236.00 ", $-   , $136.00 ," $21,947.00 ",32%
561,24,4,0,0,0,6,6," $4,060.00 ",15,9,34,10,3,0,5,01/08/2009," $16,410.00 ", $435.00 ," $1,300.00 "," $86,128.00 ", $-   ," $1,799.00 "," $11,084.00 ",3%
644,31,10,0,2,0,8,2, $282.00 ,10,6,9,7,2,0,2,01/09/2005," $89,925.00 "," $1,145.00 "," $7,197.00 "," $212,258.00 ", $-   ," $4,446.00 "," $84,844.00 ",38%
706,42,36,0,1,0,5,0, $-   ,15,0,0,3,2,0,0,01/10/2000," $306,783.00 "," $4,215.00 "," $83,470.00 "," $481,325.00 "," $157,383.00 "," $53,358.00 "," $253,425.00 ",37%
604,19,6,0,0,0,3,0, $-   ,5,4,9,11,1,2,0,01/09/2003," $55,010.00 ", $60.00 ," $5,300.00 "," $149,826.00 ", $-   ," $1,077.00 "," $53,933.00 ",80%
747,21,20,0,0,0,0,0, $-   ,1,1,0,7,3,0,0,01/11/1985," $5,981.00 ", $288.00 ," $81,113.00 "," $13,406.00 ", $-   ," $5,981.00 ", $-   ,93%
744,6,2,0,0,0,4,0, $-   ,0,0,0,15,0,0,0,01/04/2006," $16,671.00 ", $436.00 ," $8,300.00 "," $102,994.00 ", $-   ," $3,736.00 "," $12,935.00 ",55%
591,15,3,0,4,0,3,1," $1,815.00 ",17,9,6,0,0,1,0,01/11/1989," $10,003.00 ", $360.00 ,"$8,050"," $55,362.00 ", $-   ," $8,188.00 ", $-   ,0%
523,24,0,0,0,0,2,5," $3,945.00 ",3,3,6,3,0,0,18,01/07/2010," $4,908.00 ", $-   , $-   ," $21,645.00 ", $-   ," $1,066.00 ", $-   ,0%
524,22,2,0,1,0,1,12," $13,675.00 ",20,10,25,5,0,0,3,01/09/2010," $28,402.00 ", $382.00 , $200.00 ," $40,941.00 ", $-   ," $1,120.00 "," $11,461.00 ",2%
646,13,5,0,0,0,2,2," $4,088.00 ",7,4,9,45,20,0,2,01/12/1999," $19,759.00 ", $511.00 ," $1,350.00 "," $86,565.00 ", $-   , $213.00 ," $15,458.00 ",84%
"Not Scored
",3,0,0,0,0,3,0, $-   ,0,0,0,0,0,0,0,01/07/2015, $-   , $-   , $-   ," $15,292.00 ", $-   , $-   , $-   ,0%
613,16,4,0,1,0,1,6, $877.00 ,14,4,8,6,2,0,6,01/12/2015," $20,051.00 ", $537.00 ," $6,750.00 "," $39,487.00 ", $-   ," $4,266.00 "," $14,908.00 ",37%
582,31,8,0,7,0,16,0, $-   ,10,14,8,10,0,0,0,01/08/2007," $106,705.00 ", $990.00 ," $5,250.00 "," $273,641.00 ", $-   ," $12,122.00 "," $90,661.00 ",0%
728,15,8,0,1,0,5,0, $-   ,2,0,0,4,0,0,0,01/12/2011," $36,146.00 "," $1,353.00 "," $6,700.00 "," $86,357.00 ", $-   ," $1,171.00 "," $34,975.00 ",91%
731,30,12,0,0,0,16,0, $-   ,0,0,0,3,2,0,0,01/05/1984," $255,516.00 "," $3,584.00 "," $36,309.00 "," $767,874.00 "," $198,737.00 "," $31,677.00 "," $223,839.00 ",23%
517,12,1,0,0,0,0,11," $11,915.00 ",2,2,8,11,3,0,8,01/03/2015," $23,320.00 ", $426.00 , $-   ," $22,236.00 ", $-   ," $1,198.00 "," $11,405.00 ",0%
562,4,0,0,2,0,1,1, $173.00 ,2,0,0,5,1,0,0,01/10/2017," $2,489.00 ", $86.00 ," $2,300.00 "," $3,743.00 ", $-   ," $2,316.00 ", $-   ,0%
593,6,4,0,0,0,0,1, $917.00 ,0,0,0,5,2,0,2,01/09/2017," $2,487.00 ", $100.00 ," $2,200.00 "," $2,952.00 ", $-   ," $1,570.00 ", $-   ,29%
591,12,6,0,0,0,1,5," $1,314.00 ",0,0,0,2,1,1,5,01/11/2005," $42,847.00 ", $277.00 , $-   ," $37,990.00 ", $-   , $-   ," $41,533.00 ",0%
610,20,0,0,9,0,1,8," $3,996.00 ",14,12,90,1,0,0,2,01/01/1991," $100,517.00 ", $986.00 , $-   ," $68,437.00 ", $-   , $-   ," $96,521.00 ",0%
